names_IUCN,names_phylo,names_elton,diff_IUCN_elton,diff_IUCN_phylo
Akodon_cursor,Akodon_cursor,Akodon_cursor,,
Akodon_dayi,Akodon_dayi,Akodon_dayi,,
Akodon_dolores,Akodon_dolores,Akodon_dolores,,
Akodon_fumeus,Akodon_fumeus,Akodon_fumeus,,
Akodon_iniscatus,Akodon_iniscatus,Akodon_iniscatus,,
Akodon_juninensis,Akodon_juninensis,Akodon_juninensis,,
Akodon_kofordi,Akodon_kofordi,Akodon_kofordi,,
Akodon_lindberghi,Akodon_lindberghi,Akodon_lindberghi,,
Akodon_lutescens,Akodon_lutescens,Akodon_lutescens,,
Akodon_mimus,Akodon_mimus,Akodon_mimus,,
Akodon_molinae,Akodon_molinae,Akodon_molinae,,
Akodon_mollis,Akodon_mollis,Akodon_mollis,,
Akodon_montensis,Akodon_montensis,Akodon_montensis,,
Akodon_mystax,Akodon_mystax,Akodon_mystax,,
Akodon_orophilus,Akodon_orophilus,Akodon_orophilus,,
Akodon_paranaensis,Akodon_paranaensis,Akodon_paranaensis,,
Akodon_pervalens,Akodon_pervalens,Akodon_pervalens,,
Akodon_philipmyersi,Akodon_philipmyersi,Akodon_lindberghi,Recently discovered,
Akodon_reigi,Akodon_reigi,Akodon_reigi,,
Akodon_sanctipaulensis,Akodon_sanctipaulensis,Akodon_sanctipaulensis,,
Akodon_serrensis,Akodon_serrensis,Akodon_serrensis,,
Akodon_siberiae,Akodon_siberiae,Akodon_siberiae,,
Akodon_simulator,Akodon_simulator,Akodon_simulator,,
Akodon_spegazzinii,Akodon_spegazzinii,Akodon_spegazzinii,,
Akodon_subfuscus,Akodon_subfuscus,Akodon_subfuscus,,
Akodon_surdus,Akodon_surdus,Akodon_surdus,,
Akodon_sylvanus,Akodon_sylvanus,Akodon_sylvanus,,
Akodon_toba,Akodon_toba,Akodon_toba,,
Akodon_torques,Akodon_torques,Akodon_torques,,
Akodon_varius,Akodon_varius,Akodon_varius,,
Alcelaphus_buselaphus,Alcelaphus_buselaphus,Alcelaphus_buselaphus,,
Alces_alces,Alces_alces,Alces_alces,,
Alionycteris_paucidentata,Alionycteris_paucidentata,Alionycteris_paucidentata,,
Allactaga_balikunica,Allactaga_balikunica,Allactaga_balikunica,,
Allactaga_bullata,Allactaga_bullata,Allactaga_bullata,,
Allactaga_elater,Allactaga_elater,Allactaga_elater,,
Allactaga_euphratica,Allactaga_euphratica,Allactaga_euphratica,,
Allactaga_firouzi,Allactaga_firouzi,Allactaga_firouzi,,
Allactaga_hotsoni,Allactaga_hotsoni,Allactaga_hotsoni,,
Allactaga_major,Allactaga_major,Allactaga_major,,
Allactaga_severtzovi,Allactaga_severtzovi,Allactaga_severtzovi,,
Allactaga_sibirica,Allactaga_sibirica,Allactaga_sibirica,,
Allactaga_tetradactyla,Allactaga_tetradactyla,Allactaga_tetradactyla,,
Allactaga_vinogradovi,Allactaga_vinogradovi,Allactaga_vinogradovi,,
Allactaga_williamsi,Allactaga_williamsi,Allactaga_williamsi,,
Allactodipus_bobrinskii,Allactodipus_bobrinskii,Allactodipus_bobrinskii,,
Allenopithecus_nigroviridis,Allenopithecus_nigroviridis,Allenopithecus_nigroviridis,,
Allocebus_trichotis,Allocebus_trichotis,Allocebus_trichotis,,
Allochrocebus_lhoesti,Cercopithecus_lhoesti,Cercopithecus_lhoesti,New genus,New genus
Allochrocebus_preussi,Cercopithecus_preussi,Cercopithecus_preussi,New genus,New genus
Allochrocebus_solatus,Cercopithecus_solatus,Cercopithecus_solatus,New genus,New genus
Allocricetulus_curtatus,Allocricetulus_curtatus,Allocricetulus_curtatus,,
Allocricetulus_eversmanni,Allocricetulus_eversmanni,Allocricetulus_eversmanni,,
Alouatta_arctoidea,Alouatta_arctoidea,Alouatta_seniculus,Lump/split,
Alouatta_belzebul,Alouatta_belzebul,Alouatta_belzebul,,
Alouatta_caraya,Alouatta_caraya,Alouatta_caraya,,
Alouatta_discolor,Alouatta_discolor,Alouatta_belzebul,Lump/split,
Alouatta_guariba,Alouatta_guariba,Alouatta_guariba,,
Alouatta_juara,Alouatta_juara,Alouatta_seniculus,Lump/split,
Alouatta_macconnelli,Alouatta_macconnelli,Alouatta_macconnelli,,
Alouatta_nigerrima,Alouatta_nigerrima,Alouatta_nigerrima,,
Alouatta_palliata,Alouatta_palliata,Alouatta_palliata,,
Alouatta_pigra,Alouatta_pigra,Alouatta_pigra,,
Alouatta_puruensis,Alouatta_puruensis,Alouatta_seniculus,Lump/split,
Alouatta_sara,Alouatta_sara,Alouatta_sara,,
Alouatta_ululata,Alouatta_ululata,Alouatta_belzebul,Lump/split,
Alticola_albicaudus,Alticola_albicaudus,Alticola_albicaudus,,
Alticola_argentatus,Alticola_argentatus,Alticola_argentatus,,
Alticola_barakshin,Alticola_barakshin,Alticola_barakshin,,
Alticola_lemminus,Alticola_lemminus,Alticola_lemminus,,
Alticola_macrotis,Alticola_macrotis,Alticola_macrotis,,
Alticola_montosa,Alticola_montosa,Alticola_montosa,,
Alticola_olchonensis,Alticola_olchonensis,Alticola_olchonensis,,
Alticola_roylei,Alticola_roylei,Alticola_roylei,,
Alticola_semicanus,Alticola_semicanus,Alticola_semicanus,,
Alticola_stoliczkanus,Alticola_stoliczkanus,Alticola_stoliczkanus,,
Alticola_strelzowi,Alticola_strelzowi,Alticola_strelzowi,,
Alticola_tuvinicus,Alticola_tuvinicus,Alticola_tuvinicus,,
Amblysomus_corriae,Amblysomus_corriae,Amblysomus_corriae,,
Amblysomus_hottentotus,Amblysomus_hottentotus,Amblysomus_hottentotus,,
Amblysomus_marleyi,Amblysomus_marleyi,Amblysomus_marleyi,,
Amblysomus_robustus,Amblysomus_robustus,Amblysomus_robustus,,
Amblysomus_septentrionalis,Amblysomus_septentrionalis,Amblysomus_septentrionalis,,
Ametrida_centurio,Ametrida_centurio,Ametrida_centurio,,
Ammodillus_imbellis,Ammodillus_imbellis,Ammodillus_imbellis,,
Ammodorcas_clarkei,Ammodorcas_clarkei,Ammodorcas_clarkei,,
Ammospermophilus_harrisii,Ammospermophilus_harrisii,Ammospermophilus_harrisii,,
Ammospermophilus_interpres,Ammospermophilus_interpres,Ammospermophilus_interpres,,
Ammospermophilus_leucurus,Ammospermophilus_leucurus,Ammospermophilus_leucurus,,
Ammospermophilus_nelsoni,Ammospermophilus_nelsoni,Ammospermophilus_nelsoni,,
Ammotragus_lervia,Ammotragus_lervia,Ammotragus_lervia,,
Amorphochilus_schnablii,Amorphochilus_schnablii,Amorphochilus_schnablii,,
Amphinectomys_savamis,Amphinectomys_savamis,Amphinectomys_savamis,,
Anathana_ellioti,Anathana_ellioti,Anathana_ellioti,,
Andalgalomys_olrogi,Andalgalomys_olrogi,Andalgalomys_olrogi,,
Andalgalomys_pearsoni,Andalgalomys_pearsoni,Andalgalomys_pearsoni,,
Andinomys_edax,Andinomys_edax,Andinomys_edax,,
Anisomys_imitator,Anisomys_imitator,Anisomys_imitator,,
Anomalurus_beecrofti,Anomalurus_beecrofti,Anomalurus_beecrofti,,
Anomalurus_derbianus,Anomalurus_derbianus,Anomalurus_derbianus,,
Anomalurus_pelii,Anomalurus_pelii,Anomalurus_pelii,,
Anomalurus_pusillus,Anomalurus_pusillus,Anomalurus_pusillus,,
Anonymomys_mindorensis,Anonymomys_mindorensis,Anonymomys_mindorensis,,
Anotomys_leander,Anotomys_leander,Anotomys_leander,,
Anoura_cadenai,Anoura_caudifer,Anoura_caudifer,Lump/split,Lump/split
Anoura_caudifer,Anoura_caudifer,Anoura_caudifer,,
Anoura_cultrata,Anoura_cultrata,Anoura_cultrata,,
Anoura_fistulata,Anoura_fistulata,Anoura_caudifer,Recently discovered,
Anoura_geoffroyi,Anoura_geoffroyi,Anoura_geoffroyi,,
Anoura_latidens,Anoura_latidens,Anoura_latidens,,
Anoura_luismanueli,Anoura_luismanueli,Anoura_luismanueli,,
Anourosorex_assamensis,Anourosorex_assamensis,Anourosorex_assamensis,,
Anourosorex_schmidi,Anourosorex_schmidi,Anourosorex_schmidi,,
Anourosorex_squamipes,Anourosorex_squamipes,Anourosorex_squamipes,,
Anourosorex_yamashinai,Anourosorex_yamashinai,Anourosorex_yamashinai,,
Antechinomys_laniger,Antechinomys_laniger,Antechinomys_laniger,,
Antechinus_adustus,Antechinus_adustus,Antechinus_adustus,,
Antechinus_agilis,Antechinus_agilis,Antechinus_agilis,,
Antechinus_bellus,Antechinus_bellus,Antechinus_bellus,,
Antechinus_flavipes,Antechinus_flavipes,Antechinus_flavipes,,
Antechinus_godmani,Antechinus_godmani,Antechinus_godmani,,
Antechinus_leo,Antechinus_leo,Antechinus_leo,,
Antechinus_minimus,Antechinus_minimus,Antechinus_minimus,,
Antechinus_stuartii,Antechinus_stuartii,Antechinus_stuartii,,
Antechinus_subtropicus,Antechinus_subtropicus,Antechinus_subtropicus,,
Antechinus_swainsonii,Antechinus_swainsonii,Antechinus_swainsonii,,
Anthops_ornatus,Anthops_ornatus,Anthops_ornatus,,
Antidorcas_marsupialis,Antidorcas_marsupialis,Antidorcas_marsupialis,,
Antilocapra_americana,Antilocapra_americana,Antilocapra_americana,,
Antilope_cervicapra,Antilope_cervicapra,Antilope_cervicapra,,
Antrozous_pallidus,Antrozous_pallidus,Antrozous_pallidus,,
Aonyx_capensis,Aonyx_capensis,Aonyx_capensis,,
Aonyx_cinereus,Aonyx_cinerea,Aonyx_cinerea,Typo,Typo
Aonyx_congicus,Aonyx_congicus,Aonyx_capensis,Lump/split,
Aotus_azarae,Aotus_azarae,Aotus_azarae,,
Aotus_brumbacki,Aotus_brumbacki,Aotus_lemurinus,Lump/split,
Aotus_griseimembra,Aotus_griseimembra,Aotus_lemurinus,Lump/split,
Aotus_jorgehernandezi,Aotus_jorgehernandezi,Aotus_lemurinus,Recently discovered,
Aotus_lemurinus,Aotus_lemurinus,Aotus_lemurinus,,
Aotus_miconax,Aotus_miconax,Aotus_miconax,,
Aotus_nancymaae,Aotus_nancymaae,Aotus_nancymaae,,
Aotus_nigriceps,Aotus_nigriceps,Aotus_nigriceps,,
Aotus_trivirgatus,Aotus_trivirgatus,Aotus_trivirgatus,,
Aotus_vociferans,Aotus_vociferans,Aotus_vociferans,,
Aotus_zonalis,Aotus_zonalis,Aotus_lemurinus,Lump/split,
Aplodontia_rufa,Aplodontia_rufa,Aplodontia_rufa,,
Apodemus_agrarius,Apodemus_agrarius,Apodemus_agrarius,,
Apodemus_alpicola,Apodemus_alpicola,Apodemus_alpicola,,
Apodemus_argenteus,Apodemus_argenteus,Apodemus_argenteus,,
Apodemus_avicennicus,Apodemus_hyrcanicus,Apodemus_hyrcanicus,Recently discovered,Recently discovered
Apodemus_chevrieri,Apodemus_chevrieri,Apodemus_chevrieri,,
Apodemus_draco,Apodemus_draco,Apodemus_draco,,
Apodemus_epimelas,Apodemus_epimelas,Apodemus_epimelas,,
Apodemus_flavicollis,Apodemus_flavicollis,Apodemus_flavicollis,,
Apodemus_gurkha,Apodemus_gurkha,Apodemus_gurkha,,
Apodemus_hyrcanicus,Apodemus_hyrcanicus,Apodemus_hyrcanicus,,
Apodemus_latronum,Apodemus_latronum,Apodemus_latronum,,
Apodemus_mystacinus,Apodemus_mystacinus,Apodemus_mystacinus,,
Apodemus_pallipes,Apodemus_pallipes,Apodemus_pallipes,,
Apodemus_peninsulae,Apodemus_peninsulae,Apodemus_peninsulae,,
Apodemus_ponticus,Apodemus_ponticus,Apodemus_ponticus,,
Apodemus_rusiges,Apodemus_rusiges,Apodemus_rusiges,,
Apodemus_semotus,Apodemus_semotus,Apodemus_semotus,,
Apodemus_speciosus,Apodemus_speciosus,Apodemus_speciosus,,
Apodemus_sylvaticus,Apodemus_sylvaticus,Apodemus_sylvaticus,,
Apodemus_uralensis,Apodemus_uralensis,Apodemus_uralensis,,
Apodemus_witherbyi,Apodemus_witherbyi,Apodemus_witherbyi,,
Apomys_abrae,Apomys_abrae,Apomys_abrae,,
Apomys_aurorae,Apomys_aurorae,Apomys_abrae,Recently discovered,
