names_IUCN,names_elton,names_phylo,diff_IUCN_elton,diff_IUCN_phylo
Acridotheres_ginginianus,Acridotheres_ginginianus,Acridotheres_ginginianus,,
Acridotheres_grandis,Acridotheres_grandis,Acridotheres_grandis,,
Acridotheres_javanicus,Acridotheres_fuscus,Acridotheres_fuscus,Lump/split,Lump/split
Acridotheres_leucocephalus,Sturnus_burmannicus,Sturnus_burmannicus,Lump/split,Lump/split
Acridotheres_melanopterus,Sturnus_melanopterus,Sturnus_melanopterus,New genus,New genus
Acridotheres_tertius,Sturnus_melanopterus,Sturnus_melanopterus,Lump/split,Lump/split
Acridotheres_tricolor,Sturnus_melanopterus,Sturnus_melanopterus,Lump/split,Lump/split
Acridotheres_tristis,Acridotheres_tristis,Acridotheres_tristis,,
Acritillas_indica,Iole_indica,Iole_indica,New genus,New genus
Acrobatornis_fonsecai,Acrobatornis_fonsecai,Acrobatornis_fonsecai,,
Acrocephalus_aequinoctialis,Acrocephalus_aequinoctialis,Acrocephalus_aequinoctialis,,
Acrocephalus_agricola,Acrocephalus_agricola,Acrocephalus_agricola,,
Acrocephalus_arundinaceus,Acrocephalus_arundinaceus,Acrocephalus_arundinaceus,,
Acrocephalus_astrolabii,Acrocephalus_luscinius,Acrocephalus_luscinius,Lump/split,Lump/split
Acrocephalus_atyphus,Acrocephalus_atyphus,Acrocephalus_atyphus,,
Acrocephalus_australis,Acrocephalus_australis,Acrocephalus_australis,,
Acrocephalus_bistrigiceps,Acrocephalus_bistrigiceps,Acrocephalus_bistrigiceps,,
Acrocephalus_brevipennis,Acrocephalus_brevipennis,Acrocephalus_brevipennis,,
Acrocephalus_caffer,Acrocephalus_caffer,Acrocephalus_caffer,,
Acrocephalus_concinens,Acrocephalus_concinens,Acrocephalus_concinens,,
Acrocephalus_dumetorum,Acrocephalus_dumetorum,Acrocephalus_dumetorum,,
Acrocephalus_familiaris,Acrocephalus_familiaris,Acrocephalus_familiaris,,
Acrocephalus_gracilirostris,Acrocephalus_gracilirostris,Acrocephalus_gracilirostris,,
Acrocephalus_griseldis,Acrocephalus_griseldis,Acrocephalus_griseldis,,
Acrocephalus_hiwae,Acrocephalus_luscinius,Acrocephalus_luscinius,Lump/split,Lump/split
Acrocephalus_kerearako,Acrocephalus_kerearako,Acrocephalus_kerearako,,
Acrocephalus_longirostris,Acrocephalus_caffer,Acrocephalus_caffer,Lump/split,Lump/split
Acrocephalus_luscinius,Acrocephalus_luscinius,Acrocephalus_luscinius,,
Acrocephalus_melanopogon,Acrocephalus_melanopogon,Acrocephalus_melanopogon,,
Acrocephalus_mendanae,Acrocephalus_mendanae,Acrocephalus_mendanae,,
Acrocephalus_musae,Acrocephalus_caffer,Acrocephalus_caffer,Lump/split,Lump/split
Acrocephalus_newtoni,Acrocephalus_newtoni,Acrocephalus_newtoni,,
Acrocephalus_nijoi,Acrocephalus_luscinius,Acrocephalus_luscinius,Lump/split,Lump/split
Acrocephalus_orientalis,Acrocephalus_arundinaceus,Acrocephalus_arundinaceus,Lump/split,Lump/split
Acrocephalus_orinus,Acrocephalus_orinus,Acrocephalus_stentoreus,,Lump/split
Acrocephalus_paludicola,Acrocephalus_paludicola,Acrocephalus_paludicola,,
Acrocephalus_palustris,Acrocephalus_palustris,Acrocephalus_palustris,,
Acrocephalus_percernis,Acrocephalus_mendanae,Acrocephalus_mendanae,Lump/split,Lump/split
Acrocephalus_rehsei,Acrocephalus_rehsei,Acrocephalus_rehsei,,
Acrocephalus_rimitarae,Acrocephalus_rimatarae,Acrocephalus_vaughani,Typo,Lump/split
Acrocephalus_rodericanus,Acrocephalus_rodericanus,Acrocephalus_rodericanus,,
Acrocephalus_rufescens,Acrocephalus_rufescens,Acrocephalus_rufescens,,
Acrocephalus_schoenobaenus,Acrocephalus_schoenobaenus,Acrocephalus_schoenobaenus,,
Acrocephalus_scirpaceus,Acrocephalus_scirpaceus,Acrocephalus_scirpaceus,,
Acrocephalus_sechellensis,Acrocephalus_sechellensis,Acrocephalus_sechellensis,,
Acrocephalus_sorghophilus,Acrocephalus_sorghophilus,Acrocephalus_sorghophilus,,
Acrocephalus_stentoreus,Acrocephalus_stentoreus,Acrocephalus_stentoreus,,
Acrocephalus_syrinx,Acrocephalus_syrinx,Acrocephalus_syrinx,,
Acrocephalus_taiti,Acrocephalus_taiti,Acrocephalus_vaughani,,Lump/split
Acrocephalus_tangorum,Acrocephalus_tangorum,Acrocephalus_tangorum,,
Acrocephalus_vaughani,Acrocephalus_vaughani,Acrocephalus_vaughani,,
Acrocephalus_yamashinae,Acrocephalus_luscinius,Acrocephalus_luscinius,Lump/split,Lump/split
Acropternis_orthonyx,Acropternis_orthonyx,Acropternis_orthonyx,,
Acryllium_vulturinum,Acryllium_vulturinum,Acryllium_vulturinum,,
Actenoides_bougainvillei,Actenoides_bougainvillei,Actenoides_bougainvillei,,
Actenoides_capucinus,Actenoides_monachus,Actenoides_monachus,Lump/split,Lump/split
Actenoides_concretus,Actenoides_concretus,Actenoides_concretus,,
Actenoides_excelsus,Actenoides_bougainvillei,Actenoides_bougainvillei,Lump/split,Lump/split
Actenoides_hombroni,Actenoides_hombroni,Actenoides_hombroni,,
Actenoides_lindsayi,Actenoides_lindsayi,Actenoides_lindsayi,,
Actenoides_monachus,Actenoides_monachus,Actenoides_monachus,,
Actenoides_princeps,Actenoides_princeps,Actenoides_princeps,,
Actenoides_regalis,Actenoides_princeps,Actenoides_princeps,Lump/split,Lump/split
Actinodura_egertoni,Actinodura_egertoni,Actinodura_egertoni,,
Actinodura_radcliffei,Actinodura_ramsayi,Actinodura_ramsayi,Lump/split,Lump/split
Actinodura_ramsayi,Actinodura_ramsayi,Actinodura_ramsayi,,
Actinodura_sodangorum,Actinodura_sodangorum,Actinodura_sodangorum,,
Actitis_hypoleucos,Actitis_hypoleucos,Actitis_hypoleucos,,
Actitis_macularius,Actitis_macularius,Actitis_macularius,,
Actophilornis_africanus,Actophilornis_africanus,Actophilornis_africanus,,
Actophilornis_albinucha,Actophilornis_albinucha,Actophilornis_albinucha,,
Adelomyia_melanogenys,Adelomyia_melanogenys,Adelomyia_melanogenys,,
Aechmophorus_clarkii,Aechmophorus_clarkii,Aechmophorus_clarkii,,
Aechmophorus_occidentalis,Aechmophorus_occidentalis,Aechmophorus_occidentalis,,
Aegithalos_annamensis,Aegithalos_concinnus,Aegithalos_concinnus,Lump/split,Lump/split
Aegithalos_bonvaloti,Aegithalos_iouschistos,Aegithalos_iouschistos,Lump/split,Lump/split
Aegithalos_caudatus,Aegithalos_caudatus,Aegithalos_caudatus,,
Aegithalos_concinnus,Aegithalos_concinnus,Aegithalos_concinnus,,
Aegithalos_fuliginosus,Aegithalos_fuliginosus,Aegithalos_fuliginosus,,
Aegithalos_glaucogularis,Aegithalos_caudatus,Aegithalos_caudatus,Lump/split,Lump/split
Aegithalos_iouschistos,Aegithalos_iouschistos,Aegithalos_iouschistos,,
Aegithalos_iredalei,Aegithalos_concinnus,Aegithalos_concinnus,Lump/split,Lump/split
Aegithalos_leucogenys,Aegithalos_leucogenys,Aegithalos_leucogenys,,
Aegithalos_niveogularis,Aegithalos_niveogularis,Aegithalos_niveogularis,,
Aegithina_lafresnayei,Aegithina_lafresnayei,Aegithina_lafresnayei,,
Aegithina_nigrolutea,Aegithina_nigrolutea,Aegithina_nigrolutea,,
Aegithina_tiphia,Aegithina_tiphia,Aegithina_tiphia,,
Aegithina_viridissima,Aegithina_viridissima,Aegithina_viridissima,,
Aegolius_acadicus,Aegolius_acadicus,Aegolius_acadicus,,
Aegolius_funereus,Aegolius_funereus,Aegolius_funereus,,
Aegolius_gradyi,Aegolius_acadicus,Aegolius_acadicus,Extinct,Extinct
Aegolius_harrisii,Aegolius_harrisii,Aegolius_harrisii,,
Aegolius_ridgwayi,Aegolius_ridgwayi,Aegolius_ridgwayi,,
Aegotheles_affinis,Aegotheles_bennettii,Aegotheles_bennettii,Lump/split,Lump/split
Aegotheles_albertisi,Aegotheles_albertisi,Aegotheles_albertisi,,
Aegotheles_archboldi,Aegotheles_archboldi,Aegotheles_archboldi,,
Aegotheles_bennettii,Aegotheles_bennettii,Aegotheles_bennettii,,
Aegotheles_crinifrons,Aegotheles_crinifrons,Aegotheles_crinifrons,,
Aegotheles_cristatus,Aegotheles_cristatus,Aegotheles_cristatus,,
Aegotheles_insignis,Aegotheles_insignis,Aegotheles_insignis,,
Aegotheles_savesi,Aegotheles_savesi,Aegotheles_savesi,,
Aegotheles_tatei,Aegotheles_tatei,Aegotheles_insignis,,Lump/split
Aegotheles_wallacii,Aegotheles_wallacii,Aegotheles_wallacii,,
Aegypius_monachus,Aegypius_monachus,Aegypius_monachus,,
Aepypodius_arfakianus,Aepypodius_arfakianus,Aepypodius_arfakianus,,
Aepypodius_bruijnii,Aepypodius_bruijnii,Aepypodius_bruijnii,,
Aerodramus_bartschi,Collocalia_bartschi,Collocalia_vanikorensis,New genus,Lump/split
Aerodramus_brevirostris,Collocalia_brevirostris,Collocalia_brevirostris,New genus,New genus
Aerodramus_elaphrus,Collocalia_elaphra,Collocalia_elaphra,New genus,New genus
Aerodramus_francicus,Collocalia_francica,Collocalia_francica,New genus,New genus
Aerodramus_fuciphagus,Collocalia_fuciphaga,Collocalia_fuciphaga,New genus,New genus
Aerodramus_hirundinaceus,Collocalia_hirundinacea,Collocalia_hirundinacea,New genus,New genus
Aerodramus_infuscatus,Collocalia_infuscata,Collocalia_infuscata,New genus,New genus
Aerodramus_inquietus,Collocalia_inquieta,Collocalia_vanikorensis,New genus,Lump/split
