names_IUCN,names_elton,names_phylo,diff_IUCN_elton,diff_IUCN_phylo
Bubo_blakistoni,Ketupa_blakistoni,Ketupa_blakistoni,New genus,New genus
Bubo_bubo,Bubo_bubo,Bubo_bubo,,
Bubo_capensis,Bubo_capensis,Bubo_capensis,,
Bubo_cinerascens,Bubo_cinerascens,Bubo_africanus,,Lump/split
Bubo_coromandus,Bubo_coromandus,Bubo_coromandus,,
Bubo_lacteus,Bubo_lacteus,Bubo_lacteus,,
Bubo_leucostictus,Bubo_leucostictus,Bubo_leucostictus,,
Bubo_magellanicus,Bubo_magellanicus,Bubo_virginianus,,Lump/split
Bubo_nipalensis,Bubo_nipalensis,Bubo_nipalensis,,
Bubo_philippensis,Bubo_philippensis,Bubo_philippensis,,
Bubo_poensis,Bubo_poensis,Bubo_poensis,,
Bubo_scandiacus,Bubo_scandiaca,Bubo_scandiaca,Typo,Typo
Bubo_shelleyi,Bubo_shelleyi,Bubo_shelleyi,,
Bubo_sumatranus,Bubo_sumatranus,Bubo_sumatranus,,
Bubo_virginianus,Bubo_virginianus,Bubo_virginianus,,
Bubulcus_ibis,Bubulcus_ibis,Bubulcus_ibis,,
Bucanetes_githagineus,Bucanetes_githagineus,Bucanetes_githagineus,,
Bucanetes_mongolicus,Eremopsaltria_mongolicus,Eremopsaltria_mongolicus,New genus,New genus
Buccanodon_duchaillui,Buccanodon_duchaillui,Buccanodon_duchaillui,,
Bucco_capensis,Bucco_capensis,Bucco_capensis,,
Bucephala_albeola,Bucephala_albeola,Bucephala_albeola,,
Bucephala_clangula,Bucephala_clangula,Bucephala_clangula,,
Bucephala_islandica,Bucephala_islandica,Bucephala_islandica,,
Buceros_bicornis,Buceros_bicornis,Buceros_bicornis,,
Buceros_hydrocorax,Buceros_hydrocorax,Buceros_hydrocorax,,
Buceros_mindanensis,Buceros_hydrocorax,Buceros_hydrocorax,Lump/split,Lump/split
Buceros_rhinoceros,Buceros_rhinoceros,Buceros_rhinoceros,,
Bucorvus_abyssinicus,Bucorvus_abyssinicus,Bucorvus_abyssinicus,,
Bucorvus_leadbeateri,Bucorvus_cafer,Bucorvus_cafer,Lump/split,Lump/split
Buettikoferella_bivittata,Buettikoferella_bivittata,Buettikoferella_bivittata,,
Bugeranus_carunculatus,Grus_carunculatus,Grus_carunculatus,New genus,New genus
Bulweria_bifax,Bulweria_bulwerii,Bulweria_bulwerii,Extinct,Extinct
Bulweria_bulwerii,Bulweria_bulwerii,Bulweria_bulwerii,,
Bulweria_fallax,Bulweria_fallax,Bulweria_bulwerii,,Lump/split
Buphagus_africanus,Buphagus_africanus,Buphagus_africanus,,
Buphagus_erythrorynchus,Buphagus_erythrorhynchus,Buphagus_erythrorhynchus,Typo,Typo
Burhinus_bistriatus,Burhinus_bistriatus,Burhinus_bistriatus,,
Burhinus_capensis,Burhinus_capensis,Burhinus_capensis,,
Burhinus_grallarius,Burhinus_grallarius,Burhinus_grallarius,,
Burhinus_indicus,Burhinus_oedicnemus,Burhinus_oedicnemus,Lump/split,Lump/split
Burhinus_oedicnemus,Burhinus_oedicnemus,Burhinus_oedicnemus,,
Burhinus_senegalensis,Burhinus_senegalensis,Burhinus_senegalensis,,
Burhinus_superciliaris,Burhinus_superciliaris,Burhinus_superciliaris,,
Burhinus_vermiculatus,Burhinus_vermiculatus,Burhinus_vermiculatus,,
Busarellus_nigricollis,Busarellus_nigricollis,Busarellus_nigricollis,,
Butastur_indicus,Butastur_indicus,Butastur_indicus,,
Butastur_liventer,Butastur_liventer,Butastur_liventer,,
Butastur_rufipennis,Butastur_rufipennis,Butastur_rufipennis,,
Butastur_teesa,Butastur_teesa,Butastur_teesa,,
Buteo_albigula,Buteo_albigula,Buteo_albigula,,
Buteo_albonotatus,Buteo_albonotatus,Buteo_albonotatus,,
Buteo_augur,Buteo_augur,Buteo_augur,,
Buteo_auguralis,Buteo_auguralis,Buteo_auguralis,,
Buteo_brachypterus,Buteo_brachypterus,Buteo_brachypterus,,
Buteo_brachyurus,Buteo_brachyurus,Buteo_brachyurus,,
Buteo_buteo,Buteo_buteo,Buteo_buteo,,
Buteo_galapagoensis,Buteo_galapagoensis,Buteo_galapagoensis,,
Buteo_hemilasius,Buteo_hemilasius,Buteo_hemilasius,,
Buteo_jamaicensis,Buteo_jamaicensis,Buteo_jamaicensis,,
Buteo_japonicus,Buteo_buteo,Buteo_buteo,Lump/split,Lump/split
Buteo_lagopus,Buteo_lagopus,Buteo_lagopus,,
Buteo_lineatus,Buteo_lineatus,Buteo_lineatus,,
Buteo_nitidus,Buteo_nitidus,Buteo_nitidus,,
Buteo_oreophilus,Buteo_oreophilus,Buteo_oreophilus,,
Buteo_plagiatus,Buteo_nitidus,Buteo_nitidus,Lump/split,Lump/split
Buteo_platypterus,Buteo_platypterus,Buteo_platypterus,,
Buteo_refectus,Buteo_buteo,Buteo_buteo,Lump/split,Lump/split
Buteo_regalis,Buteo_regalis,Buteo_regalis,,
Buteo_ridgwayi,Buteo_ridgwayi,Buteo_ridgwayi,,
Buteo_rufinus,Buteo_rufinus,Buteo_rufinus,,
Buteo_rufofuscus,Buteo_rufofuscus,Buteo_rufofuscus,,
Buteo_socotraensis,Buteo_buteo,Buteo_buteo,Lump/split,Lump/split
Buteo_solitarius,Buteo_solitarius,Buteo_solitarius,,
Buteo_swainsoni,Buteo_swainsoni,Buteo_swainsoni,,
Buteo_trizonatus,Buteo_oreophilus,Buteo_oreophilus,Lump/split,Lump/split
Buteo_ventralis,Buteo_ventralis,Buteo_ventralis,,
Buteogallus_aequinoctialis,Buteogallus_aequinoctialis,Buteogallus_aequinoctialis,,
Buteogallus_anthracinus,Buteogallus_anthracinus,Buteogallus_anthracinus,,
Buteogallus_coronatus,Harpyhaliaetus_coronatus,Harpyhaliaetus_coronatus,New genus,New genus
Buteogallus_gundlachii,Buteogallus_gundlachii,Buteogallus_anthracinus,,Lump/split
Buteogallus_lacernulatus,Leucopternis_lacernulatus,Leucopternis_lacernulatus,New genus,New genus
Buteogallus_meridionalis,Buteogallus_meridionalis,Buteogallus_meridionalis,,
Buteogallus_schistaceus,Leucopternis_schistaceus,Leucopternis_schistaceus,New genus,New genus
Buteogallus_solitarius,Harpyhaliaetus_solitarius,Harpyhaliaetus_solitarius,New genus,New genus
Buteogallus_urubitinga,Buteogallus_urubitinga,Buteogallus_urubitinga,,
Buthraupis_montana,Buthraupis_montana,Buthraupis_montana,,
Butorides_striata,Butorides_striata,Butorides_striata,,
Bycanistes_albotibialis,Bycanistes_albotibialis,Bycanistes_cylindricus,,Lump/split
Bycanistes_brevis,Bycanistes_brevis,Bycanistes_brevis,,
Bycanistes_bucinator,Bycanistes_bucinator,Bycanistes_bucinator,,
Bycanistes_cylindricus,Bycanistes_cylindricus,Bycanistes_cylindricus,,
Bycanistes_fistulator,Bycanistes_fistulator,Bycanistes_fistulator,,
Bycanistes_sharpii,Bycanistes_fistulator,Bycanistes_fistulator,Lump/split,Lump/split
Bycanistes_subcylindricus,Bycanistes_subcylindricus,Bycanistes_subcylindricus,,
Cabalus_modestus,Gallirallus_australis,Gallirallus_australis,Extinct,Extinct
Cacatua_alba,Cacatua_alba,Cacatua_alba,,
Cacatua_ducorpsii,Cacatua_ducorpsii,Cacatua_ducorpsii,,
Cacatua_galerita,Cacatua_galerita,Cacatua_galerita,,
Cacatua_goffiniana,Cacatua_goffiniana,Cacatua_goffiniana,,
Cacatua_haematuropygia,Cacatua_haematuropygia,Cacatua_haematuropygia,,
Cacatua_leadbeateri,Cacatua_leadbeateri,Cacatua_leadbeateri,,
Cacatua_moluccensis,Cacatua_moluccensis,Cacatua_moluccensis,,
Cacatua_ophthalmica,Cacatua_ophthalmica,Cacatua_ophthalmica,,
Cacatua_pastinator,Cacatua_pastinator,Cacatua_pastinator,,
Cacatua_sanguinea,Cacatua_sanguinea,Cacatua_sanguinea,,
Cacatua_sulphurea,Cacatua_sulphurea,Cacatua_sulphurea,,
Cacatua_tenuirostris,Cacatua_tenuirostris,Cacatua_tenuirostris,,
Cacicus_cela,Cacicus_cela,Cacicus_cela,,
Cacicus_chrysonotus,Cacicus_chrysonotus,Cacicus_chrysonotus,,
Cacicus_chrysopterus,Cacicus_chrysopterus,Cacicus_chrysopterus,,
Cacicus_haemorrhous,Cacicus_haemorrhous,Cacicus_haemorrhous,,
Cacicus_koepckeae,Cacicus_koepckeae,Cacicus_koepckeae,,
Cacicus_latirostris,Ocyalus_latirostris,Ocyalus_latirostris,New genus,New genus
Cacicus_leucoramphus,Cacicus_leucoramphus,Cacicus_chrysonotus,,Lump/split
Cacicus_microrhynchus,Cacicus_microrhynchus,Cacicus_uropygialis,,Lump/split
Cacicus_oseryi,Clypicterus_oseryi,Clypicterus_oseryi,New genus,New genus
Cacicus_pacificus,Cacicus_microrhynchus,Cacicus_uropygialis,,Lump/split
Cacicus_sclateri,Cacicus_sclateri,Cacicus_sclateri,,
Cacicus_solitarius,Cacicus_solitarius,Cacicus_solitarius,,
Cacicus_uropygialis,Cacicus_uropygialis,Cacicus_uropygialis,,
Cacicus_vitellinus,Cacicus_cela,Cacicus_cela,Lump/split,Lump/split
Cacomantis_aeruginosus,Cacomantis_heinrichi,Cacomantis_heinrichi,Change species name,Change species name
Cacomantis_castaneiventris,Cacomantis_castaneiventris,Cacomantis_castaneiventris,,
Cacomantis_flabelliformis,Cacomantis_flabelliformis,Cacomantis_flabelliformis,,
Cacomantis_merulinus,Cacomantis_merulinus,Cacomantis_merulinus,,
Cacomantis_passerinus,Cacomantis_passerinus,Cacomantis_passerinus,,
Cacomantis_sonneratii,Cacomantis_sonneratii,Cacomantis_sonneratii,,
Cacomantis_variolosus,Cacomantis_variolosus,Cacomantis_variolosus,,
Cairina_moschata,Cairina_moschata,Cairina_moschata,,
Calamanthus_campestris,Calamanthus_campestris,Calamanthus_campestris,,
Calamanthus_cautus,Hylacola_cauta,Hylacola_cauta,New genus,New genus
Calamanthus_fuliginosus,Calamanthus_fuliginosus,Calamanthus_fuliginosus,,
Calamanthus_montanellus,Calamanthus_campestris,Calamanthus_campestris,Lump/split,Lump/split
Calamanthus_pyrrhopygius,Hylacola_pyrrhopygia,Hylacola_pyrrhopygia,New genus,New genus
Calamonastes_fasciolatus,Camaroptera_fasciolata,Camaroptera_fasciolata,New genus,New genus
Calamonastes_simplex,Camaroptera_simplex,Camaroptera_simplex,New genus,New genus
Calamonastes_stierlingi,Camaroptera_undosa,Camaroptera_undosa,Lump/split,Lump/split
Calamonastes_undosus,Camaroptera_undosa,Camaroptera_undosa,New genus,New genus
Calamonastides_bensoni,Chloropeta_gracilirostris,Chloropeta_gracilirostris,Lump/split,Lump/split
Calamonastides_gracilirostris,Chloropeta_gracilirostris,Chloropeta_gracilirostris,New genus,New genus
Calamospiza_melanocorys,Calamospiza_melanocorys,Calamospiza_melanocorys,,
Calandrella_acutirostris,Calandrella_acutirostris,Calandrella_acutirostris,,
Calandrella_blanfordi,Calandrella_brachydactyla,Calandrella_brachydactyla,Lump/split,Lump/split
Calandrella_brachydactyla,Calandrella_brachydactyla,Calandrella_brachydactyla,,
Calandrella_cinerea,Calandrella_cinerea,Calandrella_cinerea,,
Calandrella_dukhunensis,Calandrella_cinerea,Calandrella_cinerea,Lump/split,Lump/split
Calandrella_eremica,Calandrella_brachydactyla,Calandrella_brachydactyla,Lump/split,Lump/split
Calcarius_lapponicus,Calcarius_lapponicus,Calcarius_lapponicus,,
Calcarius_ornatus,Calcarius_ornatus,Calcarius_ornatus,,
Calcarius_pictus,Calcarius_pictus,Calcarius_pictus,,
Calendulauda_africanoides,Mirafra_africanoides,Mirafra_africanoides,New genus,New genus
Calendulauda_albescens,Certhilauda_albescens,Certhilauda_albescens,New genus,New genus
Calendulauda_alopex,Mirafra_alopex,Mirafra_alopex,New genus,New genus
Calendulauda_burra,Certhilauda_burra,Certhilauda_burra,New genus,New genus
Calendulauda_erythrochlamys,Certhilauda_erythrochlamys,Certhilauda_erythrochlamys,New genus,New genus
Calendulauda_poecilosterna,Mirafra_poecilosterna,Mirafra_poecilosterna,New genus,New genus
Calendulauda_sabota,Mirafra_sabota,Mirafra_sabota,New genus,New genus
Calherodius_leuconotus,Gorsachius_leuconotus,Gorsachius_leuconotus,New genus,New genus
Calicalicus_madagascariensis,Calicalicus_madagascariensis,Calicalicus_madagascariensis,,
Calicalicus_rufocarpalis,Calicalicus_rufocarpalis,Calicalicus_rufocarpalis,,
Calidris_acuminata,Calidris_acuminata,Calidris_acuminata,,
Calidris_alba,Calidris_alba,Calidris_alba,,
Calidris_alpina,Calidris_alpina,Calidris_alpina,,
Calidris_bairdii,Calidris_bairdii,Calidris_bairdii,,
Calidris_canutus,Calidris_canutus,Calidris_canutus,,
Calidris_falcinellus,Limicola_falcinellus,Limicola_falcinellus,New genus,New genus
Calidris_ferruginea,Calidris_ferruginea,Calidris_ferruginea,,
Calidris_fuscicollis,Calidris_fuscicollis,Calidris_fuscicollis,,
Calidris_himantopus,Calidris_himantopus,Calidris_himantopus,,
Calidris_maritima,Calidris_maritima,Calidris_maritima,,
Calidris_mauri,Calidris_mauri,Calidris_mauri,,
Calidris_melanotos,Calidris_melanotos,Calidris_melanotos,,
Calidris_minuta,Calidris_minuta,Calidris_minuta,,
Calidris_minutilla,Calidris_minutilla,Calidris_minutilla,,
Calidris_ptilocnemis,Calidris_ptilocnemis,Calidris_ptilocnemis,,
Calidris_pugnax,Philomachus_pugnax,Philomachus_pugnax,New genus,New genus
Calidris_pusilla,Calidris_pusilla,Calidris_pusilla,,
Calidris_pygmaea,Eurynorhynchus_pygmeus,Eurynorhynchus_pygmeus,New genus,New genus
Calidris_ruficollis,Calidris_ruficollis,Calidris_ruficollis,,
Calidris_subminuta,Calidris_subminuta,Calidris_subminuta,,
Calidris_subruficollis,Tryngites_subruficollis,Tryngites_subruficollis,New genus,New genus
Calidris_temminckii,Calidris_temminckii,Calidris_temminckii,,
Calidris_tenuirostris,Calidris_tenuirostris,Calidris_tenuirostris,,
Calidris_virgata,Aphriza_virgata,Aphriza_virgata,New genus,New genus
Caliechthrus_leucolophus,Caliechthrus_leucolophus,Caliechthrus_leucolophus,,
Caligavis_chrysops,Lichenostomus_chrysops,Lichenostomus_chrysops,New genus,New genus
Caligavis_obscura,Lichenostomus_obscurus,Lichenostomus_obscurus,New genus,New genus
Caligavis_subfrenata,Lichenostomus_subfrenatus,Lichenostomus_subfrenatus,New genus,New genus
Callacanthis_burtoni,Callacanthis_burtoni,Callacanthis_burtoni,,
Callaeas_cinereus,Callaeas_cinereus,Callaeas_cinereus,,
Callaeas_wilsoni,Callaeas_cinereus,Callaeas_cinereus,Lump/split,Lump/split
Calliope_calliope,Luscinia_calliope,Luscinia_calliope,New genus,New genus
Calliope_obscura,Luscinia_obscura,Luscinia_obscura,New genus,New genus
Calliope_pectardens,Luscinia_pectardens,Luscinia_pectardens,New genus,New genus
Calliope_pectoralis,Luscinia_pectoralis,Luscinia_pectoralis,New genus,New genus
Calliope_tschebaiewi,Luscinia_pectoralis,Luscinia_pectoralis,Lump/split,Lump/split
Callipepla_californica,Callipepla_californica,Callipepla_californica,,
Callipepla_douglasii,Callipepla_douglasii,Callipepla_douglasii,,
Callipepla_gambelii,Callipepla_gambelii,Callipepla_gambelii,,
Callipepla_squamata,Callipepla_squamata,Callipepla_squamata,,
Calliphlox_amethystina,Calliphlox_amethystina,Calliphlox_amethystina,,
Calliphlox_bryantae,Calliphlox_bryantae,Calliphlox_bryantae,,
Calliphlox_evelynae,Calliphlox_evelynae,Calliphlox_evelynae,,
Calliphlox_mitchellii,Calliphlox_mitchellii,Calliphlox_mitchellii,,
Callocephalon_fimbriatum,Callocephalon_fimbriatum,Callocephalon_fimbriatum,,
Callonetta_leucophrys,Callonetta_leucophrys,Callonetta_leucophrys,,
Calochaetes_coccineus,Calochaetes_coccineus,Calochaetes_coccineus,,
Caloenas_nicobarica,Caloenas_nicobarica,Caloenas_nicobarica,,
Calonectris_borealis,Calonectris_diomedea,Calonectris_diomedea,Lump/split,Lump/split
Calonectris_diomedea,Calonectris_diomedea,Calonectris_diomedea,,
Calonectris_edwardsii,Calonectris_edwardsii,Calonectris_diomedea,,Lump/split
Calonectris_leucomelas,Calonectris_leucomelas,Calonectris_leucomelas,,
Caloperdix_oculeus,Caloperdix_oculeus,Caloperdix_oculeus,,
Caloramphus_fuliginosus,Calorhamphus_fuliginosus,Calorhamphus_fuliginosus,New genus,New genus
Caloramphus_hayii,Calorhamphus_fuliginosus,Calorhamphus_fuliginosus,Lump/split,Lump/split
Calothorax_lucifer,Calothorax_lucifer,Calothorax_lucifer,,
Calothorax_pulcher,Calothorax_pulcher,Calothorax_pulcher,,
Calypte_anna,Calypte_anna,Calypte_anna,,
Calypte_costae,Calypte_costae,Calypte_costae,,
Calyptocichla_serinus,Calyptocichla_serina,Calyptocichla_serina,Typo,Typo
Calyptomena_hosii,Calyptomena_hosii,Calyptomena_hosii,,
Calyptomena_viridis,Calyptomena_viridis,Calyptomena_viridis,,
Calyptomena_whiteheadi,Calyptomena_whiteheadi,Calyptomena_whiteheadi,,
Calyptophilus_frugivorus,Calyptophilus_frugivorus,Calyptophilus_frugivorus,,
Calyptophilus_tertius,Calyptophilus_tertius,Calyptophilus_tertius,,
Calyptorhynchus_banksii,Calyptorhynchus_banksii,Calyptorhynchus_banksii,,
Calyptorhynchus_lathami,Calyptorhynchus_lathami,Calyptorhynchus_lathami,,
Calyptura_cristata,Calyptura_cristata,Calyptura_cristata,,
Camaroptera_brachyura,Camaroptera_brachyura,Camaroptera_brachyura,,
Camaroptera_chloronota,Camaroptera_chloronota,Camaroptera_chloronota,,
Camaroptera_harterti,Camaroptera_brachyura,Camaroptera_brachyura,Lump/split,Lump/split
Camaroptera_superciliaris,Camaroptera_superciliaris,Camaroptera_superciliaris,,
Camaroptera_toroensis,Camaroptera_chloronota,Camaroptera_chloronota,Lump/split,Lump/split
Campephaga_flava,Campephaga_flava,Campephaga_flava,,
Campephaga_petiti,Campephaga_petiti,Campephaga_petiti,,
Campephaga_phoenicea,Campephaga_phoenicea,Campephaga_phoenicea,,
Campephaga_quiscalina,Campephaga_quiscalina,Campephaga_quiscalina,,
Campephilus_gayaquilensis,Campephilus_gayaquilensis,Campephilus_gayaquilensis,,
Campephilus_guatemalensis,Campephilus_guatemalensis,Campephilus_guatemalensis,,
Campephilus_haematogaster,Campephilus_haematogaster,Campephilus_haematogaster,,
Campephilus_imperialis,Campephilus_imperialis,Campephilus_principalis,,Missing
Campephilus_leucopogon,Campephilus_leucopogon,Campephilus_leucopogon,,
Campephilus_magellanicus,Campephilus_magellanicus,Campephilus_magellanicus,,
Campephilus_melanoleucos,Campephilus_melanoleucos,Campephilus_melanoleucos,,
Campephilus_pollens,Campephilus_pollens,Campephilus_pollens,,
Campephilus_principalis,Campephilus_principalis,Campephilus_principalis,,
Campephilus_robustus,Campephilus_robustus,Campephilus_robustus,,
Campephilus_rubricollis,Campephilus_rubricollis,Campephilus_rubricollis,,
Campephilus_splendens,Campephilus_haematogaster,Campephilus_haematogaster,Lump/split,Lump/split
Campethera_abingoni,Campethera_abingoni,Campethera_abingoni,,
Campethera_bennettii,Campethera_bennettii,Campethera_bennettii,,
Campethera_cailliautii,Campethera_cailliautii,Campethera_cailliautii,,
Campethera_caroli,Campethera_caroli,Campethera_caroli,,
Campethera_maculosa,Campethera_maculosa,Campethera_maculosa,,
Campethera_mombassica,Campethera_mombassica,Campethera_mombassica,,
Campethera_nivosa,Campethera_nivosa,Campethera_nivosa,,
Campethera_notata,Campethera_notata,Campethera_notata,,
Campethera_nubica,Campethera_nubica,Campethera_nubica,,
Campethera_punctuligera,Campethera_punctuligera,Campethera_punctuligera,,
Campethera_scriptoricauda,Campethera_scriptoricauda,Campethera_bennettii,,Lump/split
Campethera_taeniolaema,Campethera_tullbergi,Campethera_tullbergi,Lump/split,Lump/split
Campethera_tullbergi,Campethera_tullbergi,Campethera_tullbergi,,
Campicoloides_bifasciatus,Oenanthe_bifasciata,Oenanthe_bifasciata,New genus,New genus
Campochaera_sloetii,Campochaera_sloetii,Campochaera_sloetii,,
Camptorhynchus_labradorius,Polysticta_stelleri,Polysticta_stelleri,Extinct,Extinct
Camptostoma_imberbe,Camptostoma_imberbe,Camptostoma_imberbe,,
Camptostoma_obsoletum,Camptostoma_obsoletum,Camptostoma_obsoletum,,
Campylopterus_curvipennis,Campylopterus_curvipennis,Campylopterus_curvipennis,,
Campylopterus_cuvierii,Phaeochroa_cuvierii,Phaeochroa_cuvierii,New genus,New genus
Campylopterus_duidae,Campylopterus_duidae,Campylopterus_duidae,,
Campylopterus_ensipennis,Campylopterus_ensipennis,Campylopterus_ensipennis,,
Campylopterus_falcatus,Campylopterus_falcatus,Campylopterus_falcatus,,
Campylopterus_hemileucurus,Campylopterus_hemileucurus,Campylopterus_hemileucurus,,
Campylopterus_hyperythrus,Campylopterus_hyperythrus,Campylopterus_hyperythrus,,
Campylopterus_largipennis,Campylopterus_largipennis,Campylopterus_largipennis,,
Campylopterus_phainopeplus,Campylopterus_phainopeplus,Campylopterus_phainopeplus,,
Campylopterus_rufus,Campylopterus_rufus,Campylopterus_rufus,,
Campylopterus_villaviscensio,Campylopterus_villaviscensio,Campylopterus_villaviscensio,,
Campylorhamphus_falcularius,Campylorhamphus_falcularius,Campylorhamphus_falcularius,,
Campylorhamphus_multostriatus,Campylorhamphus_procurvoides,Campylorhamphus_procurvoides,Lump/split,Lump/split
Campylorhamphus_probatus,Campylorhamphus_procurvoides,Campylorhamphus_procurvoides,Lump/split,Lump/split
Campylorhamphus_procurvoides,Campylorhamphus_procurvoides,Campylorhamphus_procurvoides,,
Campylorhamphus_pusillus,Campylorhamphus_pusillus,Campylorhamphus_pusillus,,
Campylorhamphus_trochilirostris,Campylorhamphus_trochilirostris,Campylorhamphus_trochilirostris,,
Campylorhynchus_albobrunneus,Campylorhynchus_albobrunneus,Campylorhynchus_albobrunneus,,
Campylorhynchus_brunneicapillus,Campylorhynchus_brunneicapillus,Campylorhynchus_brunneicapillus,,
Campylorhynchus_capistratus,Campylorhynchus_rufinucha,Campylorhynchus_rufinucha,Lump/split,Lump/split
Campylorhynchus_chiapensis,Campylorhynchus_chiapensis,Campylorhynchus_chiapensis,,
Campylorhynchus_fasciatus,Campylorhynchus_fasciatus,Campylorhynchus_fasciatus,,
Campylorhynchus_griseus,Campylorhynchus_griseus,Campylorhynchus_griseus,,
Campylorhynchus_gularis,Campylorhynchus_gularis,Campylorhynchus_gularis,,
Campylorhynchus_humilis,Campylorhynchus_rufinucha,Campylorhynchus_rufinucha,Lump/split,Lump/split
Campylorhynchus_jocosus,Campylorhynchus_jocosus,Campylorhynchus_jocosus,,
Campylorhynchus_megalopterus,Campylorhynchus_megalopterus,Campylorhynchus_megalopterus,,
Campylorhynchus_nuchalis,Campylorhynchus_nuchalis,Campylorhynchus_nuchalis,,
Campylorhynchus_rufinucha,Campylorhynchus_rufinucha,Campylorhynchus_rufinucha,,
Campylorhynchus_turdinus,Campylorhynchus_turdinus,Campylorhynchus_turdinus,,
Campylorhynchus_yucatanicus,Campylorhynchus_yucatanicus,Campylorhynchus_yucatanicus,,
Campylorhynchus_zonatus,Campylorhynchus_zonatus,Campylorhynchus_zonatus,,
Canirallus_oculeus,Canirallus_oculeus,Canirallus_oculeus,,
Cantorchilus_griseus,Thryothorus_griseus,Thryothorus_griseus,New genus,New genus
Cantorchilus_guarayanus,Thryothorus_guarayanus,Thryothorus_guarayanus,New genus,New genus
Cantorchilus_leucopogon,Thryothorus_leucopogon,Thryothorus_leucopogon,New genus,New genus
Cantorchilus_leucotis,Thryothorus_leucotis,Thryothorus_leucotis,New genus,New genus
Cantorchilus_longirostris,Thryothorus_longirostris,Thryothorus_longirostris,New genus,New genus
Cantorchilus_modestus,Thryothorus_modestus,Thryothorus_modestus,New genus,New genus
Cantorchilus_nigricapillus,Thryothorus_nigricapillus,Thryothorus_nigricapillus,New genus,New genus
Cantorchilus_semibadius,Thryothorus_semibadius,Thryothorus_semibadius,New genus,New genus
Cantorchilus_superciliaris,Thryothorus_superciliaris,Thryothorus_superciliaris,New genus,New genus
Cantorchilus_thoracicus,Thryothorus_thoracicus,Thryothorus_thoracicus,New genus,New genus
Cantorchilus_zeledoni,Thryothorus_modestus,Thryothorus_modestus,Lump/split,Lump/split
Capito_auratus,Capito_auratus,Capito_niger,,Lump/split
Capito_aurovirens,Capito_aurovirens,Capito_aurovirens,,
Capito_brunneipectus,Capito_brunneipectus,Capito_brunneipectus,,
Capito_dayi,Capito_dayi,Capito_dayi,,
Capito_fitzpatricki,Capito_squamatus,Capito_squamatus,Recently discovered,Recently discovered
Capito_hypoleucus,Capito_hypoleucus,Capito_hypoleucus,,
Capito_maculicoronatus,Capito_maculicoronatus,Capito_maculicoronatus,,
Capito_niger,Capito_niger,Capito_niger,,
Capito_quinticolor,Capito_quinticolor,Capito_quinticolor,,
Capito_squamatus,Capito_squamatus,Capito_squamatus,,
Capito_wallacei,Capito_wallacei,Capito_squamatus,,Recently discovered
Caprimulgus_aegyptius,Caprimulgus_aegyptius,Caprimulgus_aegyptius,,
Caprimulgus_affinis,Caprimulgus_affinis,Caprimulgus_affinis,,
Caprimulgus_andamanicus,Caprimulgus_macrurus,Caprimulgus_macrurus,Lump/split,Lump/split
Caprimulgus_asiaticus,Caprimulgus_asiaticus,Caprimulgus_asiaticus,,
Caprimulgus_atripennis,Caprimulgus_atripennis,Caprimulgus_atripennis,,
Caprimulgus_batesi,Caprimulgus_batesi,Caprimulgus_batesi,,
Caprimulgus_celebensis,Caprimulgus_celebensis,Caprimulgus_celebensis,,
Caprimulgus_centralasicus,Caprimulgus_centralasicus,Caprimulgus_centralasicus,,
Caprimulgus_clarus,Caprimulgus_clarus,Caprimulgus_clarus,,
Caprimulgus_climacurus,Caprimulgus_climacurus,Caprimulgus_climacurus,,
Caprimulgus_concretus,Caprimulgus_concretus,Caprimulgus_concretus,,
Caprimulgus_donaldsoni,Caprimulgus_donaldsoni,Caprimulgus_donaldsoni,,
Caprimulgus_europaeus,Caprimulgus_europaeus,Caprimulgus_europaeus,,
Caprimulgus_eximius,Caprimulgus_eximius,Caprimulgus_eximius,,
Caprimulgus_fossii,Caprimulgus_fossii,Caprimulgus_fossii,,
Caprimulgus_fraenatus,Caprimulgus_fraenatus,Caprimulgus_fraenatus,,
Caprimulgus_indicus,Caprimulgus_indicus,Caprimulgus_indicus,,
Caprimulgus_inornatus,Caprimulgus_inornatus,Caprimulgus_inornatus,,
Caprimulgus_jotaka,Caprimulgus_indicus,Caprimulgus_indicus,Lump/split,Lump/split
Caprimulgus_longipennis,Macrodipteryx_longipennis,Macrodipteryx_longipennis,New genus,New genus
Caprimulgus_macrurus,Caprimulgus_macrurus,Caprimulgus_macrurus,,
Caprimulgus_madagascariensis,Caprimulgus_madagascariensis,Caprimulgus_madagascariensis,,
Caprimulgus_mahrattensis,Caprimulgus_mahrattensis,Caprimulgus_mahrattensis,,
Caprimulgus_manillensis,Caprimulgus_manillensis,Caprimulgus_manillensis,,
Caprimulgus_meesi,Caprimulgus_meesi,Caprimulgus_macrurus,,Recently discovered
Caprimulgus_natalensis,Caprimulgus_natalensis,Caprimulgus_natalensis,,
Caprimulgus_nubicus,Caprimulgus_nubicus,Caprimulgus_nubicus,,
Caprimulgus_pectoralis,Caprimulgus_pectoralis,Caprimulgus_pectoralis,,
Caprimulgus_phalaena,Caprimulgus_indicus,Caprimulgus_indicus,Lump/split,Lump/split
Caprimulgus_poliocephalus,Caprimulgus_poliocephalus,Caprimulgus_poliocephalus,,
Caprimulgus_prigoginei,Caprimulgus_prigoginei,Caprimulgus_prigoginei,,
