"","cell_id","clim_pca_1","clim_pca_2","clim_pca_3","clim_pca_4"
"1",1,-0.169453672439365,3.18473126411367,-1.73514577065021,-2.25791089208767
"2",2,1.38541483328305,5.88284688283841,-1.3942196586787,-0.716071251834212
"3",3,-0.208571760448479,2.30276276173273,-1.97395609197121,-1.94202821185821
"4",4,-0.558944440271536,0.944320384403381,-1.98050288038475,-2.25511628275631
"5",5,0.362965763586903,3.63950374068256,-1.61024539427323,-1.27043765751472
"6",6,-1.06568575529927,-0.137175263221291,-2.2300666034977,-2.0613769072169
"7",7,-0.803508354068329,-0.404399646762221,-2.03423020160356,-1.75585245189852
"8",8,3.39329888977815,9.88104041164589,-0.706263989103257,0.671351511840295
"9",9,0.394527926806408,3.99085435257991,-1.5484436807112,-1.27094465082426
"10",10,-0.880138558832628,-0.563583126479755,-2.17600693599539,-1.85481025047656
"11",11,-0.694134266758562,-0.611573372638203,-2.36171050774481,-1.63480182583767
"12",12,0.569803036768077,4.35637326948114,-1.63690596124437,-1.24591452316548
"13",13,-0.736765755572231,-0.413467212507297,-1.98867778535997,-1.92340287465637
"14",14,-0.337167518764579,-0.787404290125975,-2.24127105228655,-1.55482442809117
"15",15,-0.330505511786415,-0.574427753727646,-2.30655286300577,-1.67464879206885
"16",16,1.67177299561272,5.82523522965086,-1.09480334853608,-0.950390717303946
"17",17,-0.204814662271866,0.610368687641312,-1.5682798439399,-1.81598206097578
"18",18,-0.596430683978237,-1.20861416423406,-2.15249809576876,-1.64694359301369
"19",19,-0.272693565878337,-0.989920567772007,-2.10760681650881,-1.49930144444821
"20",20,1.64663064351612,4.9588376794638,-0.927469296573637,0.126362423676609
"21",21,0.855609977444506,2.21876942080467,-1.63320179875347,-0.52801857073606
"22",22,2.26955448784601,5.52286521800723,-0.775599353037929,-0.963810554875353
"23",23,0.237033314164292,0.936558697704498,-1.21627751136489,-1.47990756713946
"24",24,-0.545413761232478,-1.10255375527858,-1.9157393937989,-1.40843057975441
"25",25,-0.180510775467171,-1.21954331357966,-2.19771712321606,-0.86087070643312
"26",26,0.0451130866200159,-1.20144639152527,-2.27538687845184,-0.850659124808668
"27",27,1.36538457765394,3.31723053418728,-1.77397486510272,-0.939601697857513
"28",28,2.28901487669604,6.04575979800998,-0.815028238753,0.431083794905461
"29",29,1.48114526543911,3.66186140063861,-1.54599800198759,-0.278188352500002
"30",30,2.40811914665859,4.45478672364181,-0.605571095080884,-0.965693856748248
"31",31,0.664683137343133,1.32087884238248,-0.877082926803378,-1.28002903779624
"32",32,-0.481401593433739,-1.01320646061156,-1.86805153871099,-0.950920769973137
"33",33,-0.140790921111226,-1.27685119637099,-1.92549783904441,-0.27449887741339
"34",34,0.275836760781536,-1.13403558144869,-2.08207809350776,-0.109680569453705
"35",35,2.07889146421259,4.94848674568576,-1.39831925536826,-0.0738977713627989
"36",36,2.53970067708244,3.30545059828792,-0.229014404374222,-0.992254627076272
"37",37,1.14640754724455,1.46174892793476,-0.589399627702967,-1.00808605535376
"38",38,-0.0204088586896355,-1.67230985919743,-1.99521111166229,-0.230638478854983
"39",39,0.498379607555408,-1.56223089448337,-1.74866062910389,0.565205542769953
"40",40,0.648443001010881,-1.33183686625444,-1.61580605435545,0.598483580712758
"41",41,0.92552284446534,-0.631144283964075,-1.21101434911858,0.404816742292479
"42",42,2.01880265060003,4.2418477666344,-1.75553387713984,-0.140480846062099
"43",43,1.87787275161909,4.11744714000923,-1.75313869626591,-0.170382000508973
"44",44,2.21567652237011,1.64357981913934,-0.0558541724329852,-1.49629097763933
"45",45,1.11320832811735,1.13458280042702,-0.232694409622017,-1.23151842870799
"46",46,0.120886934997053,-1.19499498975031,-1.90120890613364,-0.106768264442154
"47",47,0.829703720890111,-1.61882594448215,-1.01271277919939,0.917138538484381
"48",48,1.21301374114367,-0.940204372173916,-0.553592329901884,0.868029303368695
"49",49,1.35149281741063,-0.0974169177713025,-0.674132084606486,0.760093095095206
"50",50,1.59431986476428,0.769064255672794,-0.627413093520965,0.713453307295003
"51",51,1.62876387364736,1.24424460105143,-1.06829655473255,0.659674434182292
"52",52,1.2714516368353,0.198420498937631,-1.69560643441056,-0.906369271870033
"53",53,1.01356565042862,0.357562130816722,-2.07278748195853,-0.522074208253649
"54",54,1.22841723584988,1.10623202836496,-2.03829247939084,-0.233553450644745
"55",55,1.30139538787595,2.10960968463645,-1.74368805282673,-0.223054050281496
"56",56,1.23614327232132,2.02987137790352,-1.74092903767852,-0.199112543050314
"57",57,1.04401915346415,0.138771705171093,-0.0741883483303118,-1.84366921384591
"58",58,0.139366161452858,-0.465995196168744,-1.47827069744805,-0.434427493325746
"59",59,0.942706884150531,-1.86999959411335,-0.633167457082951,0.836569089262316
"60",60,1.49261709218558,-0.826003788209056,-0.0602673702100884,0.842295800108129
"61",61,1.82672927267152,0.235020741367017,0.0983234543483974,0.683209206687773
"62",62,1.9934877114649,0.890211863928556,-0.290627560850668,0.721111669077207
"63",63,2.07192217692419,1.50720798817984,-1.19499633568176,0.882914354765174
"64",64,1.88637443738843,0.749572673162353,-1.09633696174876,-1.31731022426759
"65",65,1.20369107173561,-0.372213173920746,-1.95899907810688,-0.765752554728026
"66",66,0.97466196900717,-1.01192125532536,-2.27175191321417,-0.222545219087572
"67",67,0.920483081849456,-0.874877171482562,-2.46263291721867,0.0679204527877241
"68",68,0.948361612335882,-0.526678803758616,-2.47234282177224,0.326956098095059
"69",69,1.10132487844779,0.264771690136907,-2.2874076385087,0.393794016791859
