"","cell_id","SR"
"456",456,169
"457",457,114
"458",458,75
"459",459,100
"460",460,60
"461",461,57
"462",462,57
"463",463,53
"464",464,49
"465",465,62
"466",466,164
"467",467,236
"468",468,270
"469",469,265
"470",470,202
"471",471,194
"472",472,185
"473",473,185
"474",474,164
"475",475,150
"476",476,143
"477",477,142
"478",478,145
"479",479,148
"480",480,148
"481",481,144
"482",482,142
"483",483,162
"484",484,155
"485",485,108
"486",486,135
"487",487,129
"488",488,105
"489",489,113
"490",490,155
"491",491,163
"492",492,167
"493",493,164
"494",494,170
"495",495,180
"496",496,162
"497",497,102
"498",498,85
"499",499,77
"500",500,61
"501",501,62
"502",502,56
"503",503,71
"504",504,137
"505",505,245
"506",506,257
"507",507,234
"508",508,221
"509",509,199
"510",510,193
"511",511,169
"512",512,157
"513",513,159
"514",514,143
"515",515,143
"516",516,141
"517",517,140
"518",518,133
"519",519,138
"520",520,137
"521",521,139
"522",522,142
"523",523,153
"524",524,148
"525",525,128
"526",526,137
"527",527,131
"528",528,131
"529",529,141
"530",530,158
"531",531,162
"532",532,161
"533",533,163
"534",534,181
"535",535,170
"536",536,122
"537",537,119
"538",538,224
"539",539,259
"540",540,227
"541",541,207
"542",542,194
"543",543,193
"544",544,188
"545",545,178
"546",546,163
"547",547,160
"548",548,145
"549",549,144
"550",550,139
"551",551,145
"552",552,140
"553",553,131
"554",554,126
"555",555,131
"556",556,139
"557",557,140
"558",558,151
"559",559,130
"560",560,134
"561",561,127
"562",562,124
"563",563,123
"564",564,144
"565",565,160
"566",566,159
"567",567,185
"568",568,201
"569",569,202
"570",570,178
"571",571,144
"572",572,139
"573",573,158
"574",574,254
"575",575,225
"576",576,220
"577",577,205
"578",578,198
"579",579,190
"580",580,179
"581",581,179
"582",582,175
"583",583,171
"584",584,162
"585",585,151
"586",586,147
"587",587,147
"588",588,150
"589",589,140
"590",590,131
"591",591,127
"592",592,135
"593",593,135
"594",594,135
"595",595,137
"596",596,107
"597",597,106
"598",598,114
"599",599,127
"600",600,142
"601",601,141
"602",602,120
"603",603,131
"604",604,173
"605",605,190
"606",606,167
"607",607,194
"608",608,208
"609",609,183
"610",610,127
"611",611,115
"612",612,97
"613",613,40
"614",614,73
"615",615,135
"616",616,144
"617",617,144
"618",618,101
"619",619,238
"620",620,237
"621",621,221
"622",622,226
"623",623,208
"624",624,202
"625",625,193
"626",626,182
"627",627,185
"628",628,194
"629",629,184
"630",630,182
"631",631,183
"632",632,168
"633",633,163
"634",634,162
"635",635,155
"636",636,139
"637",637,127
"638",638,124
"639",639,121
"640",640,115
"641",641,149
"642",642,141
"643",643,124
"644",644,140
"645",645,134
"646",646,133
"647",647,139
"648",648,145
"649",649,205
"650",650,170
"651",651,161
"652",652,179
"653",653,211
"654",654,232
"655",655,172
"656",656,105
"657",657,129
"658",658,133
"659",659,131
"660",660,255
"661",661,226
"662",662,211
"663",663,214
"664",664,198
"665",665,199
"666",666,192
"667",667,197
"668",668,189
"669",669,216
"670",670,216
"671",671,207
"672",672,204
"673",673,190
"674",674,182
"675",675,180
"676",676,166
"677",677,143
"678",678,117
"679",679,119
"680",680,126
"681",681,135
"682",682,148
"683",683,145
"684",684,121
"685",685,109
"686",686,112
"687",687,132
"688",688,166
"689",689,261
"690",690,199
"691",691,171
"692",692,204
"693",693,239
"694",694,223
"695",695,153
"696",696,139
"697",697,125
"698",698,129
"699",699,105
"700",700,43
"701",701,76
"702",702,91
"703",703,101
"704",704,98
"705",705,249
"706",706,263
"707",707,219
"708",708,200
"709",709,195
"710",710,193
"711",711,191
"712",712,187
"713",713,182
"714",714,195
"715",715,179
"716",716,182
"717",717,201
"718",718,205
"719",719,197
"720",720,177
"721",721,163
"722",722,137
"723",723,147
"724",724,147
"725",725,158
"726",726,127
"727",727,113
"728",728,116
"729",729,149
"730",730,158
"731",731,275
"732",732,237
"733",733,252
"734",734,256
"735",735,181
"736",736,132
"737",737,158
"738",738,146
"739",739,135
"740",740,134
"741",741,141
"742",742,131
"743",743,66
"744",744,204
"745",745,309
"746",746,257
"747",747,192
"748",748,187
"749",749,187
"750",750,209
"751",751,200
"752",752,194
"753",753,192
"754",754,197
"755",755,196
"756",756,188
"757",757,185
"758",758,180
"759",759,160
"760",760,161
"761",761,165
"762",762,160
"763",763,153
"764",764,138
"765",765,155
"766",766,181
"767",767,182
"768",768,273
"769",769,281
"770",770,223
"771",771,255
"772",772,236
"773",773,150
"774",774,93
"775",775,96
"776",776,156
"777",777,157
"778",778,183
"779",779,158
"780",780,155
"781",781,157
"782",782,141
"783",783,233
"784",784,278
"785",785,240
"786",786,186
"787",787,180
"788",788,210
"789",789,208
"790",790,206
"791",791,205
"792",792,210
"793",793,201
"794",794,195
"795",795,187
"796",796,184
"797",797,190
"798",798,183
"799",799,180
"800",800,192
"801",801,187
"802",802,171
"803",803,188
"804",804,197
"805",805,218
"806",806,243
"807",807,261
"808",808,217
"809",809,196
"810",810,156
"811",811,113
"812",812,84
"813",813,90
"814",814,86
"815",815,165
"816",816,196
"817",817,160
"818",818,184
"819",819,157
"820",820,208
"821",821,263
"822",822,264
"823",823,206
"824",824,181
"825",825,218
"826",826,210
"827",827,218
"828",828,228
"829",829,214
"830",830,201
"831",831,194
"832",832,190
"833",833,157
"834",834,134
"835",835,202
"836",836,232
"837",837,207
"838",838,187
"839",839,185
"840",840,184
"841",841,158
"842",842,163
"843",843,158
"844",844,174
"845",845,194
"846",846,204
"847",847,197
"848",848,171
"849",849,178
"850",850,132
"851",851,95
"852",852,80
"853",853,74
"854",854,57
"855",855,152
"856",856,217
"857",857,196
"858",858,192
"859",859,203
"860",860,225
"861",861,227
"862",862,252
"863",863,243
"864",864,191
"865",865,213
"866",866,207
"867",867,211
"868",868,218
"869",869,195
"870",870,159
"871",871,195
"872",872,208
"873",873,195
"874",874,196
"875",875,203
"876",876,182
"877",877,160
"878",878,154
"879",879,150
"880",880,178
"881",881,177
"882",882,153
"883",883,134
"884",884,120
"885",885,123
"886",886,128
"887",887,124
"888",888,123
"889",889,127
"890",890,124
"891",891,124
"892",892,123
"893",893,156
"894",894,167
"895",895,167
"896",896,123
"897",897,79
"898",898,61
"899",899,56
"900",900,44
"901",901,89
"902",902,76
"903",903,200
"904",904,182
"905",905,231
"906",906,229
"907",907,210
"908",908,190
"909",909,195
"910",910,206
"911",911,194
"912",912,171
"913",913,194
"914",914,215
"915",915,165
"916",916,162
"917",917,177
"918",918,165
"919",919,163
"920",920,150
"921",921,139
"922",922,125
"923",923,126
"924",924,123
"925",925,131
"926",926,116
"927",927,108
"928",928,114
"929",929,118
"930",930,113
"931",931,102
"932",932,96
"933",933,100
"934",934,103
"935",935,114
"936",936,137
"937",937,123
"938",938,155
"939",939,133
"940",940,108
"941",941,82
"942",942,65
"943",943,48
"944",944,101
"945",945,156
"946",946,84
"947",947,197
"948",948,198
"949",949,188
"950",950,193
"951",951,121
"952",952,143
"953",953,148
"954",954,128
"955",955,108
"956",956,112
"957",957,119
"958",958,124
"959",959,130
"960",960,126
